word;d;type;t
golden ratio;n�mero �ureo {m};n;{n} (Irrational number)
goldenrod;vara de oro {f};n;{n} (plant)
golden rule;regla de oro;n;{n} (idiomatic)
goldfinch;"jilguero {m}, cardelino {m}";n;{n} (bird)
goldfish;"pez rojo {m}, pez dorado {m}, pez de oro {m}, pez de colores {m}, carpa dorada {f} (Mexico)";n;{n} (fish)
goldilocks;ricitos de oro;n;{n} (girl with golden hair)
gold rush;fiebre del oro {f};n;{n} (period of feverish migration into an area in which gold has been discovered)
goldsmith;"forjador del oro, orfebre {m} {f}";n;{n} (person who forges things out of gold)
golf;golf {m};n;{n} /??lf/ (ball game)
golf club;palo de golf {m};n;{n} (the implement)
golf course;campo de golf {m};n;{n} (the land where one plays golf)
golfer;golfista {m} {f};n;{n} (someone who plays golf)
Goliath;Goliat {m};prop;{prop} (biblical giant)
go mad;;v;{v} (to become insane) SEE:
-gon;"-gono {m}, -gona {f}";suffix;{suffix} (plane figure)
gonad;g�nada {f};n;{n} /????.n�d/ (sexual gland)
gonad;"huevos {p}, cojones {p}";n;"{n} (slang, testicles)"
gonadotropin;;n;{n} (gonadotrophin) SEE:
gondola;g�ndola {f};n;{n} /???n.d?.l?/ (boat)
Gondwana;Gondwana {f};prop;{prop} (southern supercontinent)
Gondwanaland;;prop;{prop} (Gondwana) SEE:
gone;"ido, llevado, desaparecido {m}, quitado, separado, faltando, abulido";adj;{adj} /??n/
gong;gongo {m};n;{n} (percussion instrument)
gongfu;;n;{n} (kung fu) SEE:
goniometer;goni�metro {m};n;{n} (device to measure crystals)
gonorrhea;gonorrea {f};n;{n} /???n.???i.?/ (STD)
go nuts;"enloquecerse, enloquecer";v;{v} (to become mad)
good;"bueno, g�eno";adj;{adj} (beneficial; worthwhile)
good;bueno;adj;{adj} /??d/ (acting in the interest of good; ethical
good;bueno {m};adj;"{adj} (of people, competent or talented)"
good;bien {m};n;{n} (the forces of good)
good afternoon;buenas tardes;phrase;{phrase} (greeting said in the afternoon)
goodbye;"adi�s, hasta luego, hasta la vista, hasta pronto, nos vemos";interj;{interj} /??d?ba?/ (farewell)
goodbye;adi�s {m};n;{n} (an utterance of goodbye)
goodbye cruel world;adi�s mundo cruel;phrase;{phrase} /??d?ba? k?u??l w??(?)ld/ (exclamation prior to suicide)
good day;buenos d�as;interj;{interj} (greeting between sunrise and sunset)
good evening;"buenas noches {f} {p}, buenas tardes {f} {p}";n;{n} (greeting said in the evening)
good faith;buena fe {f};n;"{n} (good, honest intentions)"
good for nothing;;adj;{adj} (good-for-nothing) SEE:
good-for-nothing;"bueno-para-nada {m}, buena-para-nada {f}";n;{n} (A person of little worth or usefulness)
good luck;"�buena suerte!, �suerte!";interj;{interj} (wish of fortune or encouragement)
good morning;"buenos d�as, buen d�a";interj;{interj} /???d ?m??r.n??/ (when seeing someone for the first time in the morning)
goodness;bondad {f};n;{n} (state or characteristic of being good)
good night;buenas noches;phrase;{phrase} (a farewell)
good riddance;�Ya era hora!;interj;{interj} (used to indicate that loss is welcome)
goods;"g�neros {m} {p}, bienes {m} {p} mercanc�a {f}";n;"{n} (that which is produced, traded, bought or sold)"
goods and services tax;impuesto sobre bienes y servicios {m};n;{n} (tax very similar to the value added tax)
good things come to those who wait;las mejores cosas de la vida se hacen esperar;proverb;{proverb} (patience is a virtue)
goodwill;buena voluntad;n;{n}
goodwill;buena voluntad {f};n;{n} /??d?w?l/ (favorably disposed attitude toward someone or something)
goofy;tonto;adj;{adj} /?u?fi/ (silly)
google;"googlear, guglear";v;{v} /??u???l/ (to search for on the Internet)
googol;g�gol {m};num;{num} /??u.??l/ (1 followed by 100 zeros)
googolplex;googolplex;num;{num} (ten to the power of a googol)
go on;continuar;v;{v} (continue)
go on;pasar;v;{v} (happen)
go on;"coger, tomar";v;{v} (travel by)
goosander;"serreta {f} [Mergus], serreta grande {f} [Mergus merganser]";n;{n} (diving duck)
goose;"ganso {m} [usually wild], oca {f} [farm goose], �nsar {m} [rather a formal/zoological word]";n;{n} /?u?s/ (a grazing waterfowl of the family Anatidae)
goose bump;"escalofr�o {m}, piel de gallina {f} (from cold), pelos de punta {m} {p} (from fear)";n;"{n} (raised skin caused by cold, excitement, or fear)"
goosebump;;n;{n} (goose pimple) SEE:
goose flesh;;n;{n} /??us?fl??/ (goose pimple) SEE:
goose pimple;"carne de gallina {f}, piel de gallina {f}";n;{n} (bumps on the skin)
goose skin;;n;{n} (goose pimple) SEE:
go out;"irse , salir , apagarse";v;{v}
go out;salir;v;"{v} (to leave, especially a building)"
go out like a light;quedarse frito;v;{v} (fall asleep quickly)
go over;"sentar, pasar, ir";v;{v} (impression)
go over;"reevaluar, escudri�ar, examinar, escrutinizar";v;{v} (scrutiny)
Gordian knot;nudo gordiano {m};n;{n} (intricate problem)
Gordian knot;nudo gordiano {m};n;{n} /??o??d??n ?n?t/ (mythical knot)
gore;"sangre cuajada {f}, sangre de la herida";n;{n} /?o??/ (thick blood)
gore;"segmento triangular {m}, gajo {m}";n;{n} (triangular patch of fabric)
gore;cuchilla {f};n;{n} (triangular piece of land where roads meet)
gore;"cornear, coger";v;{v} (to pierce)
gorge;garganta {f};n;{n} /g??d??/ (deep passage)
gorge;"atiborrarse de, hartarse de";v;{v} (to eat greedily)
gorgeous;guap�simo;adj;{adj} /????d??s/ (very beautiful)
gorilla;gorila {m};n;{n} /?????l.?/ (ape)
gorse;"tojo {m}, aulaga {f}, retamo espinoso {m}";n;{n} (evergreen shrub)
gory;ensangrentado;adj;"{adj} (covered with blood, very bloody)"
gosh;"Dios m�o, caramba, jolines, joroba, caracoles";interj;{interj} /????/ (mild expression of surprise or enthusiasm)
goshawk;azor {m};n;{n} /???s.h??k/ (bird of prey)
gosling;ansarino {m};n;{n} (young goose)
gospel;evangelio;n;{n}
gospel;evangelio {m};n;{n} (first section of New Testament)
gospel;;n;{n} (gospel music) SEE:
gossip;"chisme {m} [especially Latin America], bochinche {m} [Colombian Atlantic Coast, Dominican Republic, Panama, Puerto Rico - colloquial], brete {f} [Cuba, colloquial], cahu�n {m} [Chile, colloquial], chambre {m} [El Salvador, Honduras - colloquial], chimento {m} [Argentina, Uruguay - colloquial], chirmol {m} [Guatemala, colloquial], cocoa {f} [Panama, colloquial], copucha {f} [Chile, colloquial], cotilleo {m} [Spain], cuecho {m} [Nicaragua, colloquial], mitote {m}, arg�ende {m} [Mexico, colloquial], vinazo {m} [Costa Rica, colloquial]";n;{n} (idle talk)
gossip;"chismoso {m}, chismosa {f} [especially Latin America], copuchento {m} [Chile, colloquial], arg�endero {m}, arg�endera {f} [Mexico, colloquial], alcahuete {m}, cotilla {m} {f}";n;{n} (person)
gossip;"chismear, cotillear, chismorrear";v;{v} (to talk about someone else's private or personal business)
gotcha;te tengo;contraction;{contraction} (gotcha)
goth;g�tico {m};n;{n} (person who is part of the goth subculture)
goth;g�tico {m};n;{n} (punk-derived subculture of people who predominately dress in black)
goth;g�tico {m};n;{n} (style of bleak rock music; gothic rock)
Goth;godo {m};prop;{prop} /g??/ (member of the East Germanic tribe)
Gothenburg;Gotemburgo;prop;{prop} (city on the west coast of Sweden)
Gothic;g�tico {m};adj;{adj} (of or relating to the Goths)
Gothic;g�tico {m};prop;"{prop} /???.??k/ (an extinct Germanic language, once spoken by the Goths)"
go to bed;acostarse;v;{v} (to lie down to sleep)
go to bed with;acostarse con;v;{v} (to have sex)
go to hell;vete al infierno;v;{v} (interjection)
go too far;pasarse;v;{v} (exceed an unstated limit)
go to sleep;;v;{v} (fall asleep) SEE:
gouge;ranura {f};n;{n} (cut or groove)
goulash;gulasch {m};n;"{n} /??u?.l???/ (A stew of beef or veal and vegetables, flavoured with paprika and sour cream)"
go up;subir;v;{v} (to move upwards)
gourd;calabaza {f};n;{n} (A fruit from a plant that is a member of the Cucurbitaceae family)
gourd;"calabaza {f}, banga�a {f}";n;{n} /??rd/ (Any of the climbing or trailing plants from the family Cucurbitaceae)
gourd;"calabaza {f}, calabacino {m}";n;{n} (The dried and hardened shell of a gourd fruit)
gourmand;"gastr�nomo, sibarita, gourmet, goloso {m}";n;{n} (a person who appreciates good food)
gourmand;"tragaldaba, glot�n, comil�n, trag�n, goloso {m}";n;{n} /????m?nd/ (a person given to excess in the consumption of food and drink. A greedy or ravenous eater; a glutton)
gourmet;"gastr�nomo, sibarita, gourmet, goloso {m}";n;{n} /?o???me?/ (gourmet; a person who appreciates good food)
gout;gota {f};n;{n} /ga?t/ (arthritic disease)
govern;gobernar;v;{v} ((
govern;gobernar;v;{v} /???v?n/ (to exercise sovereign authority in)
governability;gobernabilidad {f};n;{n} (ability to be governed)
governess;institutriz {f};n;{n} (woman paid to educate children in their own home)
government;gobierno {m};n;{n} /???v?(n)m?nt/ (government)
governmental;gubernamental;adj;{adj} (relating to a government)
governor;gobernador {m};n;{n}
governor;"gobernador {m}, gobernadora {f}";n;{n} (leader of a region or state)
governor general;gobernador general {m};n;{n} (governor or viceroy possessing some military authority)
governor general;gobernador general {m};n;{n} (representative of the monarch)
go wild;;v;{v} (knock yourself out) SEE:
go with the flow;ir con la corriente;v;{v} (to act as others are acting)
gown;t�nica;n;{n} /?a?n/ (woman's dress)
gown;toga {f};n;{n} (official robe)
goy;goy {m};n;{n} /???/ (non-Jew)
grab;agarrar;n;{n}
grab;agarrar;v;{v} /??�b/ (to make a sudden grasping or clutching motion (at something))
grab;"detener, arrestar";v;{v} (to restrain someone; to arrest)
grace;gracia {f};n;"{n} /??e?s/ (elegant movement, poise or balance)"
grace;"gracia {f}, merced {f}";n;"{n} (free and undeserved favour, especially of God)"
grace;gracias;n;{n} (short prayer before or after a meal)
graceful;gr�cil;adj;{adj} /???e?sf?l/ (showing grace)
gracefully;agraciadamente;adv;{adv} (in a graceful manner)
gracefulness;"graciosidad {f}, gallard�a {f}";n;{n} (the state of being graceful)
grace note;nota de la tolerancia;n;{n} (type of musical note)
grackle;"chango {m} (Antillean grackle), chinchil�n (Antillean grackle), clarinero, mariamulata {f}, zanate {m}";n;{n} (genus Quiscalus)
grackle;Mozambique (Antillean grackle);n;{n}
gradation;;n;{n} (apophony) SEE:
grade;desnivel {m};n;{n} /??e?d/ (slope of a roadway or other passage)
grade;nivel {m};n;{n} (graded area)
grade;nivel {m};n;{n} (level of the ground)
grade;;n;{n} (mathematics: gradian) SEE:
grade crossing;;n;{n} (level crossing) SEE:
grade school;;n;{n} (elementary or primary school) SEE:
gradual;"gradual, paulatino";adj;{adj} (proceeding by steps or small degrees)
gradually;"gradualmente, poco a poco, paulatinamente";adv;{adv} (in gradual manner)
graduate;"graduado {m}, graduada {f}";n;{n}
graduate;"graduado {m}, graduada {f}, graduados {p}";n;{n} /??r�d?u?t/ (from a university)
graduate;graduar;v;{v}
graduate student;;n;{n} (uni student working on a master's or Ph.D) SEE:
graduation;graduaci�n;n;{n} /???�d?u?e???n/
graffiti;grafiti;n;{n} /?????fi?.ti/ (a form of vandalism involving painting text or images)
graft;injerto {m};n;{n} /??�ft/ (small shoot or scion)
grafting;injerto {m};n;"{n} (act, art, or process of inserting grafts)"
Graham biscuit;;n;{n} (bread made of unbolted wheat flour) SEE:
grain;grano {m};n;{n} /??e?n/ (harvested seeds of various grass-related food crops)
grain;grano {m};n;{n} (single seed of grain)
grain;grano {m};n;{n} (unit of weight)
grain of salt;"reservas {f} {p}, dudas {f} {p}";n;{n} (with common sense and skepticism)
grains of paradise;"granos de paraiso {m} {p}, pimienta de Guinea {f}, pimienta melegueta {f}, granos de Guinea {m} {p}";n;{n} (spice)
gram;gramo {m};n;{n} /??�m/ (unit of mass)
-gram;-grama {m};suffix;{suffix} (something written)
grammar;gram�tica {f};n;{n} /???�m.?(?)/ (rules for speaking and writing a language)
grammar;gram�tica {f};n;{n} (study of internal structure and use of words)
grammary;;n;{n} (grammar) SEE:
grammatical;gramatical;adj;{adj} /????m�t?k?l/ (acceptable as determined by the rules of the grammar)
grammatical;gram�tico;adj;{adj} (of or pertaining to grammar)
grammatical alternation;;n;{n} (Verner alternation) SEE:
grammaticality;gramaticalidad {f};n;{n} /????.m�t.??k�l.?.ti/ (state of obeying the rules of grammar)
grammatischer Wechsel;;n;{n} (Verner alternation) SEE:
gramophone;gramola {f};n;{n} (record player)
Granada;Granada;prop;{prop} (city in Spain)
Granada;Granada;prop;{prop} (department of Nicaragua)
granary;granero {m};n;{n} (storage facility)
grand;grande;adj;{adj} /??�nd/ (Of large size or extent)
grand;grande;adj;"{adj} (Great in size, and fine or imposing in appearance or impression)"
grand;majestuoso;adj;"{adj} (Having higher rank or more dignity, size, or importance than other persons or things of the same name)"
grand;un mil;n;{n} (one thousand dollars)
grand;un mil;n;{n} (one thousand pounds sterling)
grandaunt;t�a abuela {f};n;{n} (the aunt of one�s parent; a great-aunt)
Grand Canyon;Gran Ca��n {m};prop;{prop} (large national park and gorge)
grandchild;nieto {m};n;{n} (child of someone�s child)
granddaughter;nieta {f};n;{n} (daughter of someone�s child)
grand duke;gran duque;n;{n} (ruler or monarch of a grand duchy)
grand duke;gran duque {m};n;{n} (son or grandson of a czar)
grandfather;abuelo {m};n;{n} /???�nd?f??(?)�?(?)/ (grandfather (from either side))
grandfather;abuelo {m};n;{n} (male forefather)
grandfather clock;"reloj de pie {m}, reloj de pared {m}";n;{n} (pendulum clock)
grandfather-in-law;abuelo pol�tico;n;{n} (grandfather of one's spouse)
grandiloquent;"grandilocuente, grand�locuo";adj;{adj} /??�n?d?l.?.kw?nt/ (overly wordy or elaborate)
grandiose;grandioso;adj;"{adj} (large and impressive, in size, scope or extent)"
grandiose;grandioso;adj;{adj} (pompous or pretentious)
grand jury;gran jurado {m};n;{n}
grandma;abuela;n;{n} (grandmother (informal))
grandmaster;;n;{n} (Grandmaster) SEE:
grandmother;abuela {f};n;{n} (mother of someone's parent)
grandmother-in-law;abuela pol�tica;n;{n} (grandmother of one's spouse)
grandnephew;"resobrino {m}, sobrino nieto {m}";n;{n} (grandson of a sibling)
grandniece;sobrina nieta {f};n;{n} (granddaughter of a sibling)
grandpa;"abuelo, abuelito";n;{n} (grandfather (informal))
grandparent;"abuelo {m}, abuela {f}";n;{n} (parent of one's parent)
grand piano;piano de cola {m};n;{n} (A piano in which the strings are strung horizontally in a heavy frame shaped like a harp)
Grand Prix;Gran Premio {m};n;"{n} /?r?? ?pri?/ (any of several international races, especially one of a series for Formula One racing cars)"
grandson;nieto {m};n;{n} (son of one's child)
granduncle;t�o abuelo {m};n;{n} (the uncle of someone's parent)
grand unification theory;teor�a de gran unificaci�n {f};n;{n} (theory that unifies fundamental forces)
granite;granito {m};n;{n} /???�.n?t/ (rock)
granitic;gran�tico;adj;"{adj} (of, pertaining to, or containing granite)"
granny;abuelita {f};n;{n} (colloquial: grandmother)
grant;beca {f};n;{n} /??�nt/ (The thing or property granted; a gift; a boon)
granulate;granular;v;{v} (to segment)
granuloma;granuloma;n;{n} (tumor)
grape;uva {f};n;{n} /??e?p/ (fruit)
grapefruit;"toronja {f}, pomelo {m}";n;"{n} (a large, round tart fruit)"
grapefruit;�rbol de toronja;n;{n} /???e?p.f?u?t/ (tree)
grape juice;jugo de uva {m};n;{n} (grape juice)
grapevine;;n;{n} (rumor) SEE:
grapevine;"vid {f}, parra {f}";n;{n} (the plant on which grapes grow)
graph;gr�fico {m};n;{n} /??�f/ (mathematical diagram)
graph;grafo {m};n;{n} (an ordered pair in graph theory)
graph;grafo {m};n;{n}
-graph;"-?grafo, -grafo";suffix;{suffix} (a group of letters of a specified number)
graphene;grafeno {m};n;"{n} /??r�f.i?n/ (large-scale, one-atom thick layer of graphite)"
graphic;gr�fico;adj;"{adj} (drawn, pictorial)"
graphic;gr�fico;adj;"{adj} (vivid, descriptive)"
graphical user interface;interfaz gr�fica de usuario;n;{n} (type of user interface)
graphing paper;;n;{n} (graph paper) SEE:
graphite;grafito {m};n;{n} /??r�fa?t/ (form of carbon)
graph paper;papel gr�fico;n;{n} (ruled paper)
graph theory;teor�a de grafos {f};n;{n} (study of networks of nodes and vertices)
-graphy;-graf�a;suffix;"{suffix} (Suffix denoting a written or represented in the specified manner, or about a specified subject)"
grapnel;;n;{n} /???�pn?l/ (grappling iron) SEE:
grasp;asimiento {m};n;{n} (grip)
grasp;comprensi�n {f};n;{n} (understanding)
grasp;"agarrar, asir";v;{v} /??�sp/ (to grip)
grasp;comprender;v;{v} (to understand)
grass;"hierba {f}, c�sped {m}";n;{n} (lawn)
grass;"hierba {f}, mota {f}";n;{n} (marijuana)
grass;"pasto {m}, hierba {f}, grama {f}";n;{n} /????s/ (ground cover plant)
grasshopper;saltamontes {m};n;{n} /???�s?h?p??/ (an insect of the order
grass mud horse;caballo de pasto-barro {m};n;{n} (Mythical Baidu deity used for circumventing censorship)
grass snake;culebra de collar;n;{n} (
grass widow;esposa separada temporalmente;n;{n} /?????s ?w?d??/ (woman whose husband is away)
grassy;herboso;adj;{adj} (covered with grass)
grate;rejilla {f};n;{n} /??e?t?/ (a horizontal metal grille)
grate;rallar;v;{v}
grate;rallar;v;{v} (shred)
grateful;complacido;adj;{adj} (recognizing the importance of a source of pleasure)
grateful;agradecido;adj;{adj} (showing gratitude)
gratefulness;agradecimiento;n;{n} (the state of being grateful)
grater;"rallador {m}, ralladora {f}";n;{n} /??re?t?/ (A tool with which one grates)
graticule;;n;{n} (reticle) SEE:
grating;rejilla {f};n;{n} (barrier)
grating;rejilla {f};n;{n} (frame to hold a fire)
